id,silhouette_score,eps,min_samples,algorithm,min_samples,procent_cal
336,0.06550765047422842,0.4,manhattan,auto,5,0.000625
337,0.1597358019502662,0.4,manhattan,auto,10,0.011875
338,0.15008796434336355,0.4,manhattan,auto,15,0.099375
339,0.3800561008286193,0.4,manhattan,auto,20,0.29625
340,0.42864409119479124,0.4,manhattan,auto,25,0.533125
341,0.8204414882923589,0.1,manhattan,ball_tree,5,0.76125
342,0.9863265187590117,0.1,manhattan,ball_tree,10,0.985625
343,-1,0.1,manhattan,ball_tree,15,1.0
344,-1,0.1,manhattan,ball_tree,20,1.0
345,-1,0.1,manhattan,ball_tree,25,1.0
346,0.3611333658365748,0.2,manhattan,ball_tree,5,0.188125
347,0.5078362533473202,0.2,manhattan,ball_tree,10,0.661875
348,0.857950658349554,0.2,manhattan,ball_tree,15,0.938125
349,0.9698653599214957,0.2,manhattan,ball_tree,20,0.97375
350,-1,0.2,manhattan,ball_tree,25,1.0
351,-0.19330103801717322,0.3,manhattan,ball_tree,5,0.0075
352,0.246196220616447,0.3,manhattan,ball_tree,10,0.1775
353,0.39029281947549255,0.3,manhattan,ball_tree,15,0.52875
354,0.4959429861777547,0.3,manhattan,ball_tree,20,0.72375
355,0.6406477715378767,0.3,manhattan,ball_tree,25,0.850625
356,0.06550765047422842,0.4,manhattan,ball_tree,5,0.000625
357,0.1597358019502662,0.4,manhattan,ball_tree,10,0.011875
358,0.15008796434336355,0.4,manhattan,ball_tree,15,0.099375
359,0.3800561008286193,0.4,manhattan,ball_tree,20,0.29625
360,0.42864409119479124,0.4,manhattan,ball_tree,25,0.533125
361,0.8204414882923589,0.1,manhattan,kd_tree,5,0.76125
362,0.9863265187590117,0.1,manhattan,kd_tree,10,0.985625
363,-1,0.1,manhattan,kd_tree,15,1.0
364,-1,0.1,manhattan,kd_tree,20,1.0
365,-1,0.1,manhattan,kd_tree,25,1.0
366,0.3611333658365748,0.2,manhattan,kd_tree,5,0.188125
367,0.5078362533473202,0.2,manhattan,kd_tree,10,0.661875
368,0.857950658349554,0.2,manhattan,kd_tree,15,0.938125
369,0.9698653599214957,0.2,manhattan,kd_tree,20,0.97375
370,-1,0.2,manhattan,kd_tree,25,1.0
371,-0.19330103801717322,0.3,manhattan,kd_tree,5,0.0075
372,0.246196220616447,0.3,manhattan,kd_tree,10,0.1775
373,0.39029281947549255,0.3,manhattan,kd_tree,15,0.52875
374,0.4959429861777547,0.3,manhattan,kd_tree,20,0.72375
375,0.6406477715378767,0.3,manhattan,kd_tree,25,0.850625
376,0.06550765047422842,0.4,manhattan,kd_tree,5,0.000625
377,0.1597358019502662,0.4,manhattan,kd_tree,10,0.011875
378,0.15008796434336355,0.4,manhattan,kd_tree,15,0.099375
379,0.3800561008286193,0.4,manhattan,kd_tree,20,0.29625
380,0.42864409119479124,0.4,manhattan,kd_tree,25,0.533125
381,0.8204414882923589,0.1,manhattan,brute,5,0.76125
382,0.9863265187590117,0.1,manhattan,brute,10,0.985625
383,-1,0.1,manhattan,brute,15,1.0
384,-1,0.1,manhattan,brute,20,1.0
385,-1,0.1,manhattan,brute,25,1.0
386,0.3611333658365748,0.2,manhattan,brute,5,0.188125
387,0.5078362533473202,0.2,manhattan,brute,10,0.661875
388,0.857950658349554,0.2,manhattan,brute,15,0.938125
389,0.9698653599214957,0.2,manhattan,brute,20,0.97375
390,-1,0.2,manhattan,brute,25,1.0
391,-0.19330103801717322,0.3,manhattan,brute,5,0.0075
392,0.246196220616447,0.3,manhattan,brute,10,0.1775
393,0.39029281947549255,0.3,manhattan,brute,15,0.52875
394,0.4959429861777547,0.3,manhattan,brute,20,0.72375
395,0.6406477715378767,0.3,manhattan,brute,25,0.850625
396,0.06550765047422842,0.4,manhattan,brute,5,0.000625
397,0.1597358019502662,0.4,manhattan,brute,10,0.011875
398,0.15008796434336355,0.4,manhattan,brute,15,0.099375
399,0.3800561008286193,0.4,manhattan,brute,20,0.29625
400,0.42864409119479124,0.4,manhattan,brute,25,0.533125
